time,meter_name,status,fault_groups
2025-08-29 14:21:46.532796,M3.1,OK,
2025-08-29 14:21:46.532796,M3.2,OK,
2025-08-29 14:21:51.582902,M1.1,OK,
2025-08-29 14:21:51.582902,M1.2,OK,
2025-08-29 14:21:51.582902,M1.3,OK,
2025-08-29 14:21:51.582902,M1.4,OK,
2025-08-29 14:21:51.751857,M2.1,OK,
2025-08-29 14:21:51.751857,M2.2,OK,
2025-08-29 14:21:51.801495,M3.1,OK,
2025-08-29 14:21:51.801495,M3.2,OK,
2025-08-29 14:21:56.853899,M1.1,OK,
2025-08-29 14:21:56.853899,M1.2,OK,
2025-08-29 14:21:56.853899,M1.3,OK,
2025-08-29 14:21:56.853899,M1.4,OK,
2025-08-29 14:21:57.047279,M2.1,OK,
2025-08-29 14:21:57.047279,M2.2,OK,
2025-08-29 14:21:57.101865,M3.1,OK,
2025-08-29 14:21:57.101865,M3.2,OK,
2025-08-29 14:22:02.157435,M1.1,OK,
2025-08-29 14:22:02.157435,M1.2,OK,
2025-08-29 14:22:02.157435,M1.3,OK,
2025-08-29 14:22:02.157435,M1.4,OK,
2025-08-29 14:22:02.263072,M2.1,OK,
2025-08-29 14:22:02.263072,M2.2,OK,
2025-08-29 14:22:02.313070,M3.1,OK,
2025-08-29 14:22:02.313070,M3.2,OK,
2025-08-29 14:22:07.363143,M1.1,OK,
2025-08-29 14:22:07.363143,M1.2,OK,
2025-08-29 14:22:07.363143,M1.3,OK,
2025-08-29 14:22:07.363143,M1.4,OK,
2025-08-29 14:22:07.484917,M2.1,OK,
2025-08-29 14:22:07.484917,M2.2,OK,
2025-08-29 14:22:07.535199,M3.1,OK,
2025-08-29 14:22:07.535199,M3.2,OK,
2025-08-29 14:22:12.585096,M1.1,OK,
2025-08-29 14:22:12.585096,M1.2,OK,
2025-08-29 14:22:12.585096,M1.3,OK,
2025-08-29 14:22:12.585096,M1.4,OK,
2025-08-29 14:22:12.754209,M2.1,OK,
2025-08-29 14:22:12.754209,M2.2,OK,
2025-08-29 14:22:12.803083,M3.1,OK,
2025-08-29 14:22:12.803083,M3.2,OK,
2025-08-29 14:22:17.873941,M1.1,OK,
2025-08-29 14:22:17.873941,M1.2,OK,
2025-08-29 14:22:17.873941,M1.3,OK,
2025-08-29 14:22:17.873941,M1.4,OK,
2025-08-29 14:22:18.087405,M2.1,OK,
2025-08-29 14:22:18.087405,M2.2,OK,
2025-08-29 14:22:18.152119,M3.1,OK,
2025-08-29 14:22:18.152119,M3.2,OK,
2025-08-29 14:22:23.203435,M1.1,OK,
2025-08-29 14:22:23.203435,M1.2,OK,
2025-08-29 14:22:23.203435,M1.3,OK,
2025-08-29 14:22:23.203435,M1.4,OK,
2025-08-29 14:22:23.362571,M2.1,OK,
2025-08-29 14:22:23.362571,M2.2,OK,
2025-08-29 14:22:23.413694,M3.1,OK,
2025-08-29 14:22:23.413694,M3.2,OK,
2025-08-29 14:22:28.465349,M1.1,OK,
2025-08-29 14:22:28.465349,M1.2,OK,
2025-08-29 14:22:28.465349,M1.3,OK,
2025-08-29 14:22:28.465349,M1.4,OK,
2025-08-29 14:22:28.615807,M2.1,OK,
2025-08-29 14:22:28.615807,M2.2,OK,
2025-08-29 14:22:28.666738,M3.1,OK,
2025-08-29 14:22:28.666738,M3.2,OK,
2025-08-29 14:22:33.716950,M1.1,OK,
2025-08-29 14:22:33.716950,M1.2,OK,
2025-08-29 14:22:33.716950,M1.3,OK,
2025-08-29 14:22:33.716950,M1.4,OK,
2025-08-29 14:22:33.827457,M2.1,OK,
2025-08-29 14:22:33.827457,M2.2,OK,
2025-08-29 14:22:33.890245,M3.1,OK,
2025-08-29 14:22:33.890245,M3.2,OK,
2025-08-29 14:22:38.942157,M1.1,OK,
2025-08-29 14:22:38.942157,M1.2,OK,
2025-08-29 14:22:38.942157,M1.3,OK,
2025-08-29 14:22:38.942157,M1.4,OK,
2025-08-29 14:22:39.098727,M2.1,OK,
2025-08-29 14:22:39.098727,M2.2,OK,
2025-08-29 14:22:39.160172,M3.1,OK,
2025-08-29 14:22:39.160172,M3.2,OK,
2025-08-29 14:22:44.212999,M1.1,OK,
2025-08-29 14:22:44.212999,M1.2,OK,
2025-08-29 14:22:44.212999,M1.3,OK,
2025-08-29 14:22:44.212999,M1.4,OK,
2025-08-29 14:22:44.378941,M2.1,OK,
2025-08-29 14:22:44.378941,M2.2,OK,
2025-08-29 14:22:44.428083,M3.1,OK,
2025-08-29 14:22:44.428083,M3.2,OK,
2025-08-29 14:22:49.477647,M1.1,OK,
2025-08-29 14:22:49.477647,M1.2,OK,
2025-08-29 14:22:49.477647,M1.3,OK,
2025-08-29 14:22:49.477647,M1.4,OK,
2025-08-29 14:22:49.573003,M2.1,OK,
2025-08-29 14:22:49.573003,M2.2,OK,
2025-08-29 14:22:49.622782,M3.1,OK,
2025-08-29 14:22:49.622782,M3.2,OK,
2025-08-29 14:22:54.674817,M1.1,OK,
2025-08-29 14:22:54.674817,M1.2,OK,
2025-08-29 14:22:54.674817,M1.3,OK,
2025-08-29 14:22:54.674817,M1.4,OK,
2025-08-29 14:22:54.775683,M2.1,OK,
2025-08-29 14:22:54.775683,M2.2,OK,
2025-08-29 14:22:54.825465,M3.1,OK,
2025-08-29 14:22:54.825465,M3.2,OK,
2025-08-29 14:22:59.877245,M1.1,OK,
2025-08-29 14:22:59.877245,M1.2,OK,
2025-08-29 14:22:59.877245,M1.3,OK,
2025-08-29 14:22:59.877245,M1.4,OK,
2025-08-29 14:23:00.014429,M2.1,OK,
2025-08-29 14:23:00.014429,M2.2,OK,
2025-08-29 14:23:00.067907,M3.1,OK,
2025-08-29 14:23:00.067907,M3.2,OK,
2025-08-29 14:23:05.118092,M1.1,OK,
2025-08-29 14:23:05.118092,M1.2,OK,
2025-08-29 14:23:05.118092,M1.3,OK,
2025-08-29 14:23:05.118092,M1.4,OK,
2025-08-29 14:23:05.281474,M2.1,OK,
2025-08-29 14:23:05.281474,M2.2,OK,
2025-08-29 14:23:05.332464,M3.1,OK,
2025-08-29 14:23:05.332464,M3.2,OK,
2025-08-29 14:23:10.383756,M1.1,OK,
2025-08-29 14:23:10.383756,M1.2,OK,
2025-08-29 14:23:10.383756,M1.3,OK,
2025-08-29 14:23:10.383756,M1.4,OK,
2025-08-29 14:23:10.546088,M2.1,OK,
2025-08-29 14:23:10.546088,M2.2,OK,
2025-08-29 14:23:10.594097,M3.1,OK,
2025-08-29 14:23:10.594097,M3.2,OK,
2025-08-29 14:23:15.643439,M1.1,OK,
2025-08-29 14:23:15.643439,M1.2,OK,
2025-08-29 14:23:15.643439,M1.3,OK,
2025-08-29 14:23:15.643439,M1.4,OK,
2025-08-29 14:23:15.791268,M2.1,OK,
2025-08-29 14:23:15.791268,M2.2,OK,
2025-08-29 14:23:15.840995,M3.1,OK,
2025-08-29 14:23:15.840995,M3.2,OK,
2025-08-29 14:23:20.891890,M1.1,OK,
2025-08-29 14:23:20.891890,M1.2,OK,
2025-08-29 14:23:20.891890,M1.3,OK,
2025-08-29 14:23:20.891890,M1.4,OK,
2025-08-29 14:23:21.020647,M2.1,OK,
2025-08-29 14:23:21.020647,M2.2,OK,
2025-08-29 14:23:21.073299,M3.1,OK,
2025-08-29 14:23:21.073299,M3.2,OK,
2025-08-29 14:23:26.127979,M1.1,OK,
2025-08-29 14:23:26.127979,M1.2,OK,
2025-08-29 14:23:26.127979,M1.3,OK,
2025-08-29 14:23:26.127979,M1.4,OK,
2025-08-29 14:23:26.260999,M2.1,OK,
2025-08-29 14:23:26.260999,M2.2,OK,
2025-08-29 14:23:26.319911,M3.1,OK,
2025-08-29 14:23:26.319911,M3.2,OK,
2025-08-29 14:23:31.387178,M1.1,OK,
2025-08-29 14:23:31.387178,M1.2,OK,
2025-08-29 14:23:31.387178,M1.3,OK,
2025-08-29 14:23:31.387178,M1.4,OK,
2025-08-29 14:23:31.490625,M2.1,OK,
2025-08-29 14:23:31.490625,M2.2,OK,
2025-08-29 14:23:31.542645,M3.1,OK,
2025-08-29 14:23:31.542645,M3.2,OK,
2025-08-29 14:23:36.599112,M1.1,OK,
2025-08-29 14:23:36.599112,M1.2,OK,
2025-08-29 14:23:36.599112,M1.3,OK,
2025-08-29 14:23:36.599112,M1.4,OK,
2025-08-29 14:23:36.757404,M2.1,OK,
2025-08-29 14:23:36.757404,M2.2,OK,
2025-08-29 14:23:36.805941,M3.1,OK,
2025-08-29 14:23:36.805941,M3.2,OK,
2025-08-29 14:23:41.855818,M1.1,OK,
2025-08-29 14:23:41.855818,M1.2,OK,
2025-08-29 14:23:41.855818,M1.3,OK,
2025-08-29 14:23:41.855818,M1.4,OK,
2025-08-29 14:23:41.974298,M2.1,OK,
2025-08-29 14:23:41.974298,M2.2,OK,
2025-08-29 14:23:42.023515,M3.1,OK,
2025-08-29 14:23:42.023515,M3.2,OK,
2025-08-29 14:23:47.071298,M1.1,OK,
2025-08-29 14:23:47.071298,M1.2,OK,
2025-08-29 14:23:47.071298,M1.3,OK,
2025-08-29 14:23:47.071298,M1.4,OK,
2025-08-29 14:23:47.233776,M2.1,OK,
2025-08-29 14:23:47.233776,M2.2,OK,
2025-08-29 14:23:47.281257,M3.1,OK,
2025-08-29 14:23:47.281257,M3.2,OK,
2025-08-29 14:23:52.332500,M1.1,OK,
2025-08-29 14:23:52.332500,M1.2,OK,
2025-08-29 14:23:52.332500,M1.3,OK,
2025-08-29 14:23:52.332500,M1.4,OK,
2025-08-29 14:23:52.476081,M2.1,OK,
2025-08-29 14:23:52.476081,M2.2,OK,
2025-08-29 14:23:52.522827,M3.1,OK,
2025-08-29 14:23:52.522827,M3.2,OK,
2025-08-29 14:23:57.570957,M1.1,OK,
2025-08-29 14:23:57.570957,M1.2,OK,
2025-08-29 14:23:57.570957,M1.3,OK,
2025-08-29 14:23:57.570957,M1.4,OK,
2025-08-29 14:23:57.731789,M2.1,OK,
2025-08-29 14:23:57.731789,M2.2,OK,
2025-08-29 14:23:57.782360,M3.1,OK,
2025-08-29 14:23:57.782360,M3.2,OK,
2025-08-29 14:24:02.833257,M1.1,OK,
2025-08-29 14:24:02.833257,M1.2,OK,
2025-08-29 14:24:02.833257,M1.3,OK,
2025-08-29 14:24:02.833257,M1.4,OK,
2025-08-29 14:24:02.995719,M2.1,OK,
2025-08-29 14:24:02.995719,M2.2,OK,
2025-08-29 14:24:03.043072,M3.1,OK,
2025-08-29 14:24:03.043072,M3.2,OK,
2025-08-29 14:24:08.092358,M1.1,OK,
2025-08-29 14:24:08.092358,M1.2,OK,
2025-08-29 14:24:08.092358,M1.3,OK,
2025-08-29 14:24:08.092358,M1.4,OK,
2025-08-29 14:24:08.245515,M2.1,OK,
2025-08-29 14:24:08.245515,M2.2,OK,
2025-08-29 14:24:08.293318,M3.1,OK,
2025-08-29 14:24:08.293318,M3.2,OK,
2025-08-29 14:24:13.342739,M1.1,OK,
2025-08-29 14:24:13.342739,M1.2,OK,
2025-08-29 14:24:13.342739,M1.3,OK,
2025-08-29 14:24:13.342739,M1.4,OK,
2025-08-29 14:24:13.500203,M2.1,OK,
2025-08-29 14:24:13.500203,M2.2,OK,
